node1,node2,weight
2882,2883,1
2882,5,1
2882,1340,1
2882,8,1
2882,786,1
2882,139,1
2882,11,1
2882,12,1
2882,14,1
2882,15,1
2882,17,1
2882,18,1
2882,829,1
2882,2884,1
2882,2885,1
2882,22,1
2882,23,1
2882,2886,1
2882,2887,1
2882,2888,1
2882,25,1
2882,24,1
2882,2889,1
26,2882,1
26,2890,1
26,2891,1
26,2892,1
26,27,1
26,817,1
26,2893,1
26,29,1
26,1468,1
26,229,1
26,2894,1
26,2895,1
26,32,1
26,33,1
26,34,1
26,2896,1
26,2697,1
26,2897,1
26,2898,1
26,35,1
26,2899,1
26,2025,1
26,835,1
26,1258,1
26,1093,1
26,1312,1
26,40,1
26,41,1
26,1311,1
26,1280,1
26,1486,1
26,46,1
26,45,1
26,2900,1
26,2901,1
26,2902,1
26,2903,1
26,790,1
26,47,1
26,2381,1
26,2904,1
26,830,1
833,26,1
833,2905,1
833,2906,1
833,488,1
833,2907,1
833,2908,1
833,1445,1
833,2909,1
833,2910,1
833,2911,1
833,54,1
833,2912,1
833,1467,1
833,2913,1
833,1466,1
833,2914,1
833,2304,1
833,2442,1
833,2410,1
833,441,1
2915,833,1
2915,2916,1
2915,2917,1
2915,182,1
2915,61,1
2915,2918,1
2915,2919,1
2915,183,1
2920,2915,1
2920,2921,1
2920,2922,1
2920,64,1
2920,1,1
2920,2923,1
2920,66,1
2920,825,1
2920,185,1
2920,1077,1
2920,2881,1
2920,2449,1
2920,787,1
2920,836,1
2920,72,1
2920,2396,1
2920,2924,1
2920,756,1
2920,2027,1
2920,2925,1
2920,2926,1
2920,2927,1
2920,2928,1
2920,2929,1
2920,281,1
2920,2930,1
2920,784,1
2920,79,1
2920,80,1
2920,2550,1
2920,82,1
2920,2931,1
2920,85,1
2920,789,1
2920,2932,1
2920,196,1
2920,2933,1
2920,86,1
2920,2019,1
2920,2934,1
2920,1397,1
2920,4,1
2920,87,1
2920,820,1
2920,2935,1
2920,88,1
2920,92,1
2920,625,1
2920,2936,1
2920,94,1
2920,2241,1
2920,97,1
2920,2937,1
2920,1666,1
2920,2938,1
2920,2939,1
2920,2940,1
2920,2941,1
2920,100,1
2920,2942,1
2920,2943,1
2920,1398,1
2920,101,1
2920,2944,1
2920,104,1
2920,1472,1
2920,2945,1
2920,2946,1
2920,105,1
2920,2947,1
2920,106,1
2920,273,1
2920,678,1
2920,838,1
2920,107,1
2920,842,1
2920,6,1
2920,2948,1
2920,9,1
2920,819,1
2920,10,1
2920,2230,1
2920,13,1
2920,2394,1
2920,791,1
2920,919,1
2920,16,1
2920,19,1
2920,20,1
2920,21,1
2920,832,1
2920,1476,1
2920,2949,1
2920,1284,1
2920,2950,1
2920,490,1
2920,2951,1
1199,2920,1
1199,1437,1
1199,2952,1
1199,2953,1
1199,2954,1
1199,2955,1
1199,1090,1
1199,231,1
1199,2956,1
1199,36,1
1199,2340,1
1199,2030,1
1199,38,1
1199,1473,1
1199,1436,1
1199,1474,1
1199,2957,1
1199,2958,1
1199,42,1
1199,2434,1
1199,818,1
1199,43,1
1199,1453,1
1199,2959,1
1199,44,1
1199,871,1
1199,2960,1
1199,823,1
1199,2961,1
1199,2962,1
1199,2963,1
1199,2859,1
1199,2298,1
1199,1217,1
1199,2964,1
1199,48,1
1199,2965,1
1199,49,1
1199,837,1
1199,2966,1
1199,50,1
1199,2967,1
1199,2968,1
1199,51,1
1199,841,1
1199,2303,1
1199,2969,1
1199,52,1
1199,53,1
1199,2007,1
1199,2970,1
1199,1457,1
1199,2971,1
1199,170,1
1199,2762,1
1199,824,1
1199,2972,1
1199,944,1
1199,2973,1
1199,1422,1
1199,2974,1
1199,2975,1
1199,2369,1
1199,57,1
1199,56,1
1199,2976,1
1199,1455,1
1199,2977,1
1199,2978,1
1199,59,1
1199,2979,1
1199,60,1
1199,2980,1
1199,62,1
1199,788,1
1199,180,1
1199,2981,1
1199,2383,1
1199,2982,1
1199,1390,1
1199,1438,1
1199,2983,1
1199,1450,1
1199,2984,1
1199,65,1
1199,1403,1
1199,2985,1
1199,2986,1
1199,2987,1
1199,2988,1
1199,67,1
1199,393,1
1199,69,1
1199,2989,1
1199,834,1
1199,2990,1
1199,2991,1
1199,1667,1
1199,2992,1
1199,2345,1
1199,792,1
1199,73,1
1199,192,1
1199,2993,1
1199,2994,1
1199,821,1
1199,2804,1
1199,2393,1
1199,2995,1
1199,2996,1
1199,2997,1
1199,78,1
1199,1313,1
1199,2998,1
1199,2999,1
1199,2390,1
1199,3000,1
1199,83,1
1199,81,1
1199,485,1
1199,3001,1
1199,84,1
1199,929,1
1199,89,1
1199,314,1
1199,3002,1
1199,3003,1
1199,90,1
1199,828,1
1199,793,1
1199,3004,1
1199,1278,1
1199,3005,1
1199,3006,1
1199,256,1
1199,831,1
1199,2392,1
1199,3007,1
1199,96,1
1199,95,1
1199,3008,1
1199,259,1
1199,840,1
1199,98,1
1199,3009,1
1199,3010,1
1199,99,1
1199,480,1
1199,2249,1
1199,1470,1
1199,3011,1
1199,102,1
1199,3012,1
1199,725,1
1199,839,1
1199,3013,1
1199,3014,1
1199,1108,1
1199,3015,1
